State,District,Delta Confirmed,Delta Deceased,Delta Recovered,Total Confirmed,Total Deceased,Total Recovered
HP,Shimla,2,0,10,182,2,108
HP,Sirmaur,5,0,4,355,1,208
HP,Solan,12,0,23,734,0,315
HP,Una,1,0,2,244,0,162
HR,Ambala,32,0,34,1742,17,1432
HR,Bhiwani,15,0,6,804,6,758
HR,Faridabad,169,1,180,9341,135,8286
HR,Fatehabad,21,1,10,376,3,249
HR,Gurugram,46,0,115,9348,124,8468
HR,Hisar,4,0,18,1014,10,715
HR,Jhajjar,16,1,25,865,11,765
HR,Jind,8,0,0,328,5,191
HR,Kaithal,6,0,1,296,0,220
HR,Karnal,19,0,35,1139,11,775
HR,Kurukshetra,16,1,22,553,7,311
HR,Mahendragarh,3,0,24,832,1,681
HR,Nuh,5,0,3,560,12,494
HR,Palwal,15,0,15,993,9,815
HR,Panchkula,12,0,17,743,2,364
HR,Panipat,50,0,1,1302,19,767
HR,Rewari,20,0,80,1904,8,1475
HR,Rohtak,96,1,95,1689,24,1248
HR,Sirsa,19,3,9,445,7,261
HR,Sonipat,29,0,46,3013,33,2664
HR,Yamunanagar,22,0,20,354,3,190
JH,Bokaro,8,0,0,299,2,141
JH,Chatra,1,0,0,380,1,167
JH,Dhanbad,53,0,0,741,14,201
JH,Dumka,22,0,5,155,0,54
JH,East Singhbhum,208,4,57,2420,44,693
JH,Garhwa,14,0,0,509,2,197
JH,Giridih,3,0,112,633,4,428
JH,Godda,44,0,0,208,2,23
JH,Gumla,1,0,0,383,1,103
JH,Hazaribagh,10,0,24,761,11,334
JH,Khunti,28,0,0,234,1,42
JH,Koderma,17,0,6,674,5,310
JH,Latehar,20,0,0,335,0,107
JH,Lohardaga,4,0,46,273,2,187
JH,Pakur,25,0,0,281,0,79
JH,Palamu,0,0,44,532,1,282
JH,Ramgarh,0,0,44,493,3,205
JH,Ranchi,68,0,67,2583,25,755
JH,Saraikela-Kharsawan,12,0,0,317,4,131
JH,Simdega,7,0,0,557,1,394
JH,West Singhbhum,25,0,0,407,2,147
JK,Anantnag,37,0,45,1411,26,1115
JK,Bandipora,5,1,1,820,15,532
JK,Baramulla,14,1,9,1968,73,1452
JK,Budgam,9,3,150,1345,31,878
JK,Doda,7,0,17,299,2,217
JK,Ganderbal,28,0,34,518,7,331
JK,Jammu,41,0,52,1300,21,696
JK,Kathua,4,0,42,551,1,411
JK,Kishtwar,0,0,20,155,0,100
JK,Kulgam,1,0,12,1524,29,1322
JK,Kupwara,20,0,4,1161,21,940
JK,Pulwama,14,2,49,1628,24,881
JK,Punch,14,0,8,248,1,152
JK,Rajouri,21,0,147,741,2,451
JK,Ramban,0,0,1,574,1,442
JK,Reasi,28,0,1,198,0,60
JK,Samba,11,0,1,457,1,280
JK,Shopiyan,11,0,0,1485,23,1238
JK,Srinagar,99,3,229,5432,138,2994
JK,Udhampur,26,0,2,581,1,364
KA,Bagalkote,144,1,28,2297,50,1059
KA,Ballari,284,5,483,7638,84,3724
KA,Belagavi,263,1,28,3944,86,1082
KA,Bengaluru Rural,82,0,56,2471,10,704
KA,Bengaluru Urban,2035,30,4274,63033,1134,27877
KA,Bidar,114,3,22,2562,85,1692
KA,Chamarajanagara,57,3,23,852,13,517
KA,Chikkaballapura,171,2,31,2124,40,1288
KA,Chikkamagaluru,63,2,23,1199,24,516
KA,Chitradurga,12,3,79,803,12,337
KA,Dakshina Kannada,225,13,69,6388,178,2918
KA,Davanagere,191,5,93,2619,62,1654
KA,Dharwad,188,8,292,4835,163,2226
KA,Gadag,96,1,55,1764,40,633
KA,Hassan,188,2,44,2742,70,1063
KA,Haveri,157,1,16,1445,28,668
KA,Kalaburagi,285,2,152,6222,113,3470
KA,Kodagu,31,0,0,537,9,320
KA,Kolar,46,0,38,1501,25,587
KA,Koppal,163,1,33,1592,24,746
KA,Mandya,126,2,40,2035,16,1093
KA,Mysuru,662,9,164,5854,183,2230
KA,Raichur,144,2,116,2853,30,1881
KA,Ramanagara,65,0,259,1303,11,664
KA,Shivamogga,15,4,43,2111,39,775
KA,Tumakuru,78,1,59,1942,56,918
KA,Udupi,170,6,161,4969,42,2889
KA,Uttara Kannada,57,0,0,2277,25,1509
KA,Vijayapura,71,1,78,3295,39,2271
KA,Yadgir,76,2,13,2587,10,1928
KL,Alappuzha,126,0,55,2056,6,1206
KL,Ernakulam,135,1,49,2293,13,1203
KL,Idukki,0,0,26,885,2,577
KL,Kannur,37,0,103,1480,8,1126
KL,Kasaragod,91,0,25,2066,6,1130
